# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-06-29
#
# GRDC-No.:              6348400
# River:                 PO, FIUME
# Station:               PIACENZA
# Country:               --
# Latitude (DD):       45.016666
# Longitude (DD):      9.666667
# Catchment area (km²):      
# Altitude (m ASL):        42.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1924 - 1985
# No. of years:          62
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 744
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1942-05-01;--:--;    962.000;   -999.000;   0
1942-06-01;--:--;    637.000;   -999.000;   0
1942-07-01;--:--;    463.000;   -999.000;   0
1942-08-01;--:--;    386.000;   -999.000;   0
1942-09-01;--:--;    745.000;   -999.000;   0
1942-10-01;--:--;   1270.000;   -999.000;   0
1942-11-01;--:--;   1610.000;   -999.000;   0
1942-12-01;--:--;    734.000;   -999.000;   0
1943-01-01;--:--;    614.000;   -999.000;   0
1943-02-01;--:--;    667.000;   -999.000;   0
1943-03-01;--:--;    633.000;   -999.000;   0
1943-04-01;--:--;    581.000;   -999.000;   0
1943-05-01;--:--;   1140.000;   -999.000;   0
1943-06-01;--:--;    405.000;   -999.000;   0
1943-07-01;--:--;    296.000;   -999.000;   0
1943-08-01;--:--;    292.000;   -999.000;   0
1943-09-01;--:--;    733.000;   -999.000;   0
1943-10-01;--:--;    967.000;   -999.000;   0
1943-11-01;--:--;    741.000;   -999.000;   0
1943-12-01;--:--;   1010.000;   -999.000;   0
1944-01-01;--:--;    500.000;   -999.000;   0
1944-02-01;--:--;    396.000;   -999.000;   0
1944-03-01;--:--;    482.000;   -999.000;   0
1944-04-01;--:--;    423.000;   -999.000;   0
1944-05-01;--:--;    318.000;   -999.000;   0
1944-06-01;--:--;    292.000;   -999.000;   0
1944-07-01;--:--;    693.000;   -999.000;   0
1944-08-01;--:--;    526.000;   -999.000;   0
1944-09-01;--:--;    619.000;   -999.000;   0
1944-10-01;--:--;   1780.000;   -999.000;   0
1944-11-01;--:--;   1130.000;   -999.000;   0
1944-12-01;--:--;    587.000;   -999.000;   0
1945-01-01;--:--;    410.000;   -999.000;   0
1945-02-01;--:--;    533.000;   -999.000;   0
1945-03-01;--:--;    574.000;   -999.000;   0
1945-04-01;--:--;    433.000;   -999.000;   0
1945-05-01;--:--;    320.000;   -999.000;   0
1945-06-01;--:--;    491.000;   -999.000;   0
1945-07-01;--:--;    266.000;   -999.000;   0
1945-08-01;--:--;    584.000;   -999.000;   0
1945-09-01;--:--;    583.000;   -999.000;   0
1945-10-01;--:--;    480.000;   -999.000;   0
1945-11-01;--:--;   2280.000;   -999.000;   0
1945-12-01;--:--;   1070.000;   -999.000;   0
1946-01-01;--:--;    592.000;   -999.000;   0
1946-02-01;--:--;    730.000;   -999.000;   0
1946-03-01;--:--;   2060.000;   -999.000;   0
1946-04-01;--:--;   1100.000;   -999.000;   0
1946-05-01;--:--;   2440.000;   -999.000;   0
1946-06-01;--:--;   2230.000;   -999.000;   0
1946-07-01;--:--;   1210.000;   -999.000;   0
1946-08-01;--:--;    701.000;   -999.000;   0
1946-09-01;--:--;   1130.000;   -999.000;   0
1946-10-01;--:--;    507.000;   -999.000;   0
1946-11-01;--:--;    487.000;   -999.000;   0
1946-12-01;--:--;    424.000;   -999.000;   0
1947-01-01;--:--;    382.000;   -999.000;   0
1947-02-01;--:--;    461.000;   -999.000;   0
1947-03-01;--:--;   1090.000;   -999.000;   0
1947-04-01;--:--;   1020.000;   -999.000;   0
1947-05-01;--:--;   1170.000;   -999.000;   0
1947-06-01;--:--;    626.000;   -999.000;   0
1947-07-01;--:--;    479.000;   -999.000;   0
